第一课：开学    辆 研 究 弓 内 全 较 省 由 处 拉 柯 林
第二课：宿舍生活    屋 摆 毯 柜 挂 门 调 栋 旧 恐 品 层 般 着 急
第三课：在饭馆儿    留 鸡 蒸 芥 兰 嫩 菠 鲜 淡 咸 油 巾 筷 各 虑 主 微 丽 莎 梅 杭 川 湖
第四课：买东西  恤 仔 无 论 需 牙 膏 粉 购 价 纯 棉 髦 质 量 标 乎 税
第五课：选课    选 世 界 历 史 其 章 轻 松 授 讨 碰 毕 济 决 解 建 议 管 谈 将 挣 融 数 交 哲 申
第六课：男朋友女朋友    朗 迷 相 底 背 景 根 陪 答 原 虎 停 歉 态 度 丢 三 钥 匙
第七课：电脑和网络  络 闻 资 戏 博 载 软 结 杂 志 垃 圾 落 伍 食 迟 害 敢 待 瘾 严 代 助 翻 译 免
第八课：打工    良 育 存 入 供 减 负 响 庭 取 验 零 奖 府 贷 款 农 村 低 遛 猫 读 借 欠 银 怪 乖
第九课：教育    移 士 设 嫂 硕 婚 幸 福 厉 侄 排 钢 琴 画 怨 尊 择 反 童 龙 凤 番 墨
第十课：中国地理    乡 火 船 风 河 流 部 山 漠 条 形 积 倍 挤 季 族 哈 尔 滨 疆 江 津 深 圳 云
第十一课：中国的节日    舅 区 环 境 夕 墙 贴 倒 奇 酒 举 顺 利 剩 浪 余 传 统 粽 饼 团 宵 嘛 拜 恭 财 闹 鞭 炮 端 恩
第十二课：中国的变化    变 及 街 盖 骑 装 筑 尝 句 尽 厦 座 声 咕 噜 夫 庙
第十三课：去云南旅游    享 参 括 通 硬 铺 厢 顿 盒 幽 默 俗 惯 览 石 树 讲 故 塔 纪 万 笼 昆
第十四课：生活与健康    与 妻 退 必 散 锻 炼 拳 晨 瑜 伽 注 于 肥 随 即 使 营 饱 科 须 吸 烟 熬 补 充 眠 熊
第十五课：男女平等  妇 情 况 逐 渐 改 革 企 厂 酬 性 丈 互 模 范 队 厌 骄 傲 输 绩 职 薪 消 赢 冠 军 乒 乓 德
第十六课：环境保护与节约能源    源 爬 益 段 推 雾 霾 筒 扔 阳 板 煤 规 温 赞 汗 砍 塑 袋 污 染 造 克 摄 氏
第十七课：理财与投资    俭 投 涨 炒 股 引 姑 矛 盾 郁 闷 孙 未 劝 辛 苦 增 突 义 赚 抵 跌 赔
第十八课：中国历史  之 观 朝 伟 展 皇 帝 贡 献 修 杀 宫 殿 坟 墓 兵 俑 丝 绸 贸 诗 达 技 术 曾 指 领 命 立 孔 秦 唐 宋 华
第十九课：面试  跨 归 龟 满 销 湿 总 肃 吓 释 阴 寄 既 产 晴 缺 善 优 握
第二十课：世界变小了    聚 庆 饯 锅 池 剧 搞 熟 稳 永 联 谊 欧 洲
